record_id,metric_name,metric_value,evidence_basis,evidence_urls,evidence_titles,calculation_rule,evidence_strength_score,verdict_confidence_score,confidence_band,audit_status
TESLA-002,verdict_category,True,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions. Evidence: The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises. URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/",https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Apply strict promise rule or published factual-claim classification.,84,84,Medium-High,Complete
TESLA-002,score_points,100,Score assigned mechanically from verdict and claim type under strict-promise-v1.0: True = 100 points.,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Map verdict mechanically to points under the applicable rule.,84,84,Medium-High,Complete
TESLA-002,include_in_trust_score,Yes,Included because the claim has a resolved evidence-based verdict.,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Include only resolved evidence-based verdicts.,84,84,Medium-High,Complete
TESLA-002,confidence,Medium-High,Evidence strength 84/100 = statement 30/30 + outcome 34/40 + corroboration 8/15 + directness 12/15. Published deductions yield verdict confidence 84/100 (Medium-High).,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Calculate from evidence components and published deductions.,84,84,Medium-High,Complete
TESLA-002,credible_sources_contest_claim,No,Credible-source contestation: No. Resolution: No material contestation identified in the cited evidence. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Record material credible-source disagreement separately from verdict.,84,84,Medium-High,Complete
TESLA-002,correction_status,No correction documented in the cited evidence reviewed for this row,Correction status is bounded to the cited record: No correction documented in the cited evidence reviewed for this row. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Bound correction finding to cited evidence.,84,84,Medium-High,Complete
TESLA-002,repeated_after_correction,Not established from the cited evidence,Repeated after correction: Not established from the cited evidence. Minimum documented repetition count: At least 1 documented instance. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Bound repetition finding to cited evidence.,84,84,Medium-High,Complete
TESLA-002,intentional_deception_established,No,The cited evidence supports the central claim with qualifications. The documented imprecision or omitted context does not establish a knowing intent to deceive.,https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises","Require direct admission, adjudicated intent finding, or comparably conclusive state-of-mind evidence.",84,84,Medium-High,Complete
TESLA-002,strict_promise_result,Pass,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions. Evidence: The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises. URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/",https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises","Pass only if every material promise or forecast term was met; otherwise Fail, Pending, Unresolved, or Not applicable.",84,84,Medium-High,Complete
TESLA-003,deadline_result,No dated deadline,Compared the original target/timeframe (“No explicit deadline”) with the documented outcome. Result: No dated deadline. Evidence: The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall. URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Compare original target with documented timing.,72,62,Medium,Complete
TESLA-003,eventual_outcome,Fulfilled,"Classified the later real-world result independently from the headline verdict. Result: Fulfilled. Documented outcome: Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable. Evidence: The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall. URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall",https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Classify the later real-world outcome separately from the headline verdict.,72,62,Medium,Complete
TESLA-003,factual_accuracy,Not applicable,"Compared the normalized proposition with the cited records. Result: Not applicable. Documented outcome: Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable. Evidence: The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall. URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall",https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Compare the normalized factual proposition with cited evidence.,72,62,Medium,Complete
TESLA-003,verdict_category,True,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable. Evidence: The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall. URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall",https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Apply strict promise rule or published factual-claim classification.,72,62,Medium,Complete
TESLA-003,score_points,100,Score assigned mechanically from verdict and claim type under strict-promise-v1.0: True = 100 points.,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Map verdict mechanically to points under the applicable rule.,72,62,Medium,Complete
TESLA-003,include_in_trust_score,Yes,Included because the claim has a resolved evidence-based verdict.,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Include only resolved evidence-based verdicts.,72,62,Medium,Complete
TESLA-003,confidence,Medium,Evidence strength 72/100 = statement 30/30 + outcome 26/40 + corroboration 8/15 + directness 8/15. Published deductions yield verdict confidence 62/100 (Medium).,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Calculate from evidence components and published deductions.,72,62,Medium,Complete
TESLA-003,credible_sources_contest_claim,No,Credible-source contestation: No. Resolution: No material contestation identified in the cited evidence. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Record material credible-source disagreement separately from verdict.,72,62,Medium,Complete
TESLA-003,correction_status,No correction documented in the cited evidence reviewed for this row,Correction status is bounded to the cited record: No correction documented in the cited evidence reviewed for this row. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Bound correction finding to cited evidence.,72,62,Medium,Complete
TESLA-003,repeated_after_correction,Not established from the cited evidence,Repeated after correction: Not established from the cited evidence. Minimum documented repetition count: At least 1 documented instance. Evidence URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,Bound repetition finding to cited evidence.,72,62,Medium,Complete
TESLA-003,intentional_deception_established,No,Intent is not assessed because the underlying claim is Pending or Unresolved. The evidence does not first establish a settled inaccurate outcome from which a state-of-mind inquiry could responsibly proceed.,https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,"Require direct admission, adjudicated intent finding, or comparably conclusive state-of-mind evidence.",72,62,Medium,Complete
TESLA-003,strict_promise_result,Pass,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable. Evidence: The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall. URLs: https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall",https://www.tesla.com/secret-master-plan; https://www.tesla.com/solarroof; https://www.tesla.com/powerwall,The Secret Tesla Motors Master Plan; Tesla Solar Roof; Tesla Powerwall,"Pass only if every material promise or forecast term was met; otherwise Fail, Pending, Unresolved, or Not applicable.",72,62,Medium,Complete
TESLA-004,deadline_result,Missed by roughly two years,Compared the original target/timeframe (“2010”) with the documented outcome. Result: Missed by roughly two years. Evidence: Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan. URLs: https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Compare original target with documented timing.,68,58,Medium-Low,Complete
TESLA-004,eventual_outcome,"Fulfilled later, outside the promise","Classified the later real-world result independently from the headline verdict. Result: Fulfilled later, outside the promise. Documented outcome: Customer deliveries of Model S began in June 2012, roughly two years after the promised 2010 delivery year. Evidence: Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan. URLs: https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan",https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Classify the later real-world outcome separately from the headline verdict.,68,58,Medium-Low,Complete
TESLA-004,factual_accuracy,Not applicable,"Compared the normalized proposition with the cited records. Result: Not applicable. Documented outcome: Customer deliveries of Model S began in June 2012, roughly two years after the promised 2010 delivery year. Evidence: Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan. URLs: https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan",https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Compare the normalized factual proposition with cited evidence.,68,58,Medium-Low,Complete
TESLA-004,verdict_category,False,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: False (False — Missed Deadline). Evidence finding: Customer deliveries of Model S began in June 2012, roughly two years after the promised 2010 delivery year. Evidence: Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan. URLs: https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan",https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Apply strict promise rule or published factual-claim classification.,68,58,Medium-Low,Complete
TESLA-004,score_points,0,Score assigned mechanically from verdict and claim type under strict-promise-v1.0: False = 0 points.,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Map verdict mechanically to points under the applicable rule.,68,58,Medium-Low,Complete
TESLA-004,include_in_trust_score,Yes,Included because the claim has a resolved evidence-based verdict.,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Include only resolved evidence-based verdicts.,68,58,Medium-Low,Complete
TESLA-004,confidence,Medium-Low,Evidence strength 68/100 = statement 30/30 + outcome 26/40 + corroboration 0/15 + directness 12/15. Published deductions yield verdict confidence 58/100 (Medium-Low).,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster; https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Begins Regular Production of 2008 Tesla Roadster; Tesla Motors Delivers World's First Premium Electric Sedan,Calculate from evidence components and published deductions.,68,58,Medium-Low,Complete
