record_id,change_type,v4_statement_paraphrase,v5_statement_paraphrase,v4_verdict,v5_verdict,v4_display_verdict,v5_display_verdict,v4_score,v5_score,v4_included,v5_included,score_delta,strict_promise_result,status_rule_version,changes_and_evidence_reason
TESLA-016,Reclassified,Become profitable in Q3 2018 and remain profitable on a sustained quarterly basis.,Become profitable in Q3 2018 and remain profitable on a sustained quarterly basis.,Misleading,False,Materially Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Materially Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-017,Reclassified,"Sell a base Model 3 for about $35,000.","Sell a base Model 3 for about $35,000.",Mostly True,False,Fulfilled Slightly Late,False — Unfulfilled,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Fulfilled Slightly Late -> False — Unfulfilled score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-018,Reclassified,"Produce a fully autonomous Tesla costing about $25,000 in roughly three years.","Produce a fully autonomous Tesla costing about $25,000 in roughly three years.",False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-019,"Audited, no headline change","Asserted that Reuters was lying when it reported Tesla had canceled the all-new $25,000 EV project.","Asserted that Reuters was lying when it reported Tesla had canceled the all-new $25,000 EV project.",Unsupported,Unsupported,Unsupported,Unsupported,25,25,Yes,Yes,0,Not applicable,strict-promise-v1.0,Evidence and derived statistics re-audited.
TESLA-020,Reclassified,Tesla would achieve complete autonomous driving in about three years.,Tesla would achieve complete autonomous driving in about three years.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-021,Reclassified,Demonstrate a fully self-driven Los Angeles-to-New York trip by the end of 2017.,Demonstrate a fully self-driven Los Angeles-to-New York trip by the end of 2017.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-022,Reclassified,Complete the coast-to-coast autonomous drive in three to six months.,Complete the coast-to-coast autonomous drive in three to six months.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-023,Reclassified,Begin enabling full self-driving features with Tesla Version 9 in the August 2018 update.,Begin enabling full self-driving features with Tesla Version 9 in the August 2018 update.,Misleading,False,Partially Fulfilled,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Partially Fulfilled -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-024,Reclassified,Have one million Tesla robotaxis operating by the end of 2020.,Have one million Tesla robotaxis operating by the end of 2020.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-025,Reclassified,Produce a vehicle without a steering wheel or pedals in about two years.,Produce a vehicle without a steering wheel or pedals in about two years.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-026,Reclassified,Release a monthly Full Self-Driving subscription early in 2021.,Release a monthly Full Self-Driving subscription early in 2021.,Mostly True,False,Fulfilled Slightly Late,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Fulfilled Slightly Late -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-027,Reclassified,Make FSD Beta available to all eligible North American customers later in 2022.,Make FSD Beta available to all eligible North American customers later in 2022.,True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-028,Reclassified,Tesla would achieve self-driving technology ready for broad release by the end of 2022.,Tesla would achieve self-driving technology ready for broad release by the end of 2022.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-029,Reclassified,Existing Tesla vehicles with Hardware 3 would be capable of unsupervised full self-driving.,Existing Tesla vehicles with Hardware 3 would be capable of unsupervised full self-driving.,False,False,Unfulfilled,False — Unfulfilled,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Unfulfilled Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-030,Reclassified,Unsupervised Tesla rides would carry passengers in Austin in June 2025.,Unsupervised Tesla rides would carry passengers in Austin in June 2025.,Misleading,False,Partially Fulfilled,False — Incomplete Scope,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Partially Fulfilled -> False — Incomplete Scope score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-031,Reclassified,Operate unsupervised Tesla passenger service in many U.S. cities by the end of 2025.,Operate unsupervised Tesla passenger service in many U.S. cities by the end of 2025.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-032,Reclassified,Complete the first autonomous factory-to-customer Model Y delivery in June 2025.,Complete the first autonomous factory-to-customer Model Y delivery in June 2025.,True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-033,Reclassified,Remove the Austin robotaxi safety driver by the end of 2025.,Remove the Austin robotaxi safety driver by the end of 2025.,Misleading,False,Fulfilled Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Fulfilled Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-034,Reclassified,Begin Cybertruck production and deliveries in late 2021.,Begin Cybertruck production and deliveries in late 2021.,Misleading,False,Fulfilled Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Fulfilled Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-035,Reclassified,"Offer an entry Cybertruck at about $39,900.","Offer an entry Cybertruck at about $39,900.",False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-036,Reclassified,Offer a top Cybertruck with more than 500 miles of range.,Offer a top Cybertruck with more than 500 miles of range.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-037,Reclassified,Begin Tesla Semi production in 2019.,Begin Tesla Semi production in 2019.,Misleading,False,Fulfilled Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Fulfilled Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-038,Reclassified,Demonstrate a fully loaded Tesla Semi capable of 500 miles.,Demonstrate a fully loaded Tesla Semi capable of 500 miles.,Mostly True,True,Substantially Fulfilled,True — Fulfilled as Stated,75,100,Yes,Yes,25,Pass,strict-promise-v1.0,verdict: Mostly True -> True display: Substantially Fulfilled -> True — Fulfilled as Stated score: 75 -> 100 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-039,Reclassified,"Produce 50,000 Tesla Semi trucks in 2024.","Produce 50,000 Tesla Semi trucks in 2024.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-040,Reclassified,Start production of the next-generation Roadster in 2020.,Start production of the next-generation Roadster in 2020.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-041,Reclassified,Ship the next-generation Roadster in 2025.,Ship the next-generation Roadster in 2025.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-042,Reclassified,"Reach about 1,000 Solar Roof installations per week by the end of 2019.","Reach about 1,000 Solar Roof installations per week by the end of 2019.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-043,Reclassified,Create a smoothly integrated solar-roof and battery product.,Create a smoothly integrated solar-roof and battery product.,True,True,Fulfilled,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-044,Reclassified,Unveil a heavy-duty truck the following year.,Unveil a heavy-duty truck the following year.,True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-045,Reclassified,Unveil a high-passenger-density urban transport vehicle the following year.,Unveil a high-passenger-density urban transport vehicle the following year.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-046,Reclassified,Let owners add autonomous Teslas to a shared fleet and earn money when true self-driving was approved.,Let owners add autonomous Teslas to a shared fleet and earn money when true self-driving was approved.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-047,Reclassified,Produce 20 million vehicles annually by 2030.,Produce 20 million vehicles annually by 2030.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-048,Reclassified,Show a working Tesla Bot prototype in 2022.,Show a working Tesla Bot prototype in 2022.,True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-049,Reclassified,Use Optimus robots for useful internal Tesla tasks in 2025 and sell them externally in 2026.,Have genuinely useful Optimus robots in low production for internal Tesla use during 2025.,Pending,False,Pending,False — Missed Deadline,,0,No,Yes,,Fail,strict-promise-v1.0,proposition: Use Optimus robots for useful internal Tesla tasks in 2025 and sell them externally in 2026. -> Have genuinely useful Optimus robots in low production for internal Tesla use during 2025. verdict: Pending -> False display: Pending -> False — Missed Deadline score:  -> 0 inclusion: No -> Yes Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-050,"Audited, no headline change",Stated that funding was secured to take Tesla private at $420 per share.,Stated that funding was secured to take Tesla private at $420 per share.,Unsupported,Unsupported,Unsupported,Unsupported,25,25,Yes,Yes,0,Not applicable,strict-promise-v1.0,Evidence and derived statistics re-audited.
SPACEX-001,Reclassified,Reach Mars in about 10 years.,Reach Mars in about 10 years.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-002,Reclassified,Reach Mars within 15 to 20 years in the worst case.,Reach Mars within 15 to 20 years in the worst case.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-003,Reclassified,"People would reach Mars in 12 to 15 years, and in less than 20 years.","People would reach Mars in 12 to 15 years, and in less than 20 years.",Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-004,Reclassified,Send Starship to orbit in less than six months.,Send Starship to orbit in less than six months.,Misleading,False,Materially Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Materially Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-005,Reclassified,Fly people on Starship in the following year.,Fly people on Starship in the following year.,False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-006,Reclassified,Starship would reach orbit during 2022.,Starship would reach orbit during 2022.,Mostly True,False,Mostly Correct,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Mostly Correct -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-007,Reclassified,Make Starship reach orbit by the end of 2022.,Make Starship reach orbit by the end of 2022.,Mostly True,False,Mostly Correct,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Mostly Correct -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-008,Reclassified,Build a new Starship and booster every month by the end of 2022.,Build a new Starship and booster every month by the end of 2022.,Unresolved,False,Unresolved,False — Missed Deadline,,0,No,Yes,,Fail,strict-promise-v1.0,verdict: Unresolved -> False display: Unresolved -> False — Missed Deadline score:  -> 0 inclusion: No -> Yes Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-009,Reclassified,Fly Japanese billionaire Yusaku Maezawa and artists around the Moon in 2023.,Fly Japanese billionaire Yusaku Maezawa and artists around the Moon in 2023.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-010,Reclassified,Launch Starship's second flight in roughly six weeks after the first integrated test.,Launch Starship's second flight in roughly six weeks after the first integrated test.,Misleading,False,Materially Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Materially Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-011,Reclassified,Starship would reach Mars within five years.,Starship would reach Mars within five years.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-012,Reclassified,One million people would live on Mars in about 20 years.,One million people would live on Mars in about 20 years.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-013,Reclassified,Send several uncrewed Starships to Mars in two years.,Send several uncrewed Starships to Mars in two years.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-014,Reclassified,"If the uncrewed missions succeeded, send crewed ships to Mars in four years.","If the uncrewed missions succeeded, send crewed ships to Mars in four years.",Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-015,Reclassified,Launch Starship toward Mars at the end of 2026 carrying an Optimus robot.,Launch Starship toward Mars at the end of 2026 carrying an Optimus robot.,Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-016,Reclassified,"Begin human Mars landings as early as 2029, with 2031 more likely.","Begin human Mars landings as early as 2029, with 2031 more likely.",Pending,Pending,Pending,Pending,,,No,No,,Pending,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-017,Reclassified,Have Crew Dragon hardware ready for a crewed launch within roughly three to four months.,Have Crew Dragon hardware ready for a crewed launch within roughly three to four months.,Mostly True,False,Mostly Correct,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Mostly Correct -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
SPACEX-018,Reclassified,Launch Falcon Heavy during 2017 after repeated schedule revisions.,Launch Falcon Heavy during 2017 after repeated schedule revisions.,Mostly True,False,Mostly Correct,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Mostly Correct -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-001,Reclassified,Create a diverse content-moderation council and make no major content decisions or account reinstatements before it convened.,Create a diverse content-moderation council and make no major content decisions or account reinstatements before it convened.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-002,Reclassified,"Keep the account tracking his private jet online despite the personal-safety risk, as evidence of his free-speech commitment.","Keep the account tracking his private jet online despite the personal-safety risk, as evidence of his free-speech commitment.",False,False,Promise Reversed,False — Reversed,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Promise Reversed -> False — Reversed Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-003,Reclassified,Restore suspended journalists immediately after an X poll favored reinstatement.,Restore suspended journalists immediately after an X poll favored reinstatement.,True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-004,Reclassified,"Publish Twitter's content-recommendation code on March 31, 2023.","Publish Twitter's content-recommendation code on March 31, 2023.",Misleading,False,Partially Fulfilled,False — Incomplete Scope,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Partially Fulfilled -> False — Incomplete Scope score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-005,Reclassified,Make the entirety of the recommendation code public within the next few weeks.,Make the entirety of the recommendation code public within the next few weeks.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-006,Reclassified,"Open-source the new X recommendation algorithm, including organic and advertising recommendation code, within seven days.","Open-source the new X recommendation algorithm, including organic and advertising recommendation code, within seven days.",Mostly True,False,Fulfilled Slightly Late,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Fulfilled Slightly Late -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-007,Reclassified,Publish algorithm updates and detailed developer notes every four weeks for the foreseeable future.,Publish algorithm updates and detailed developer notes every four weeks for the foreseeable future.,Unresolved,False,Unresolved,False — Missed Deadline,,0,No,Yes,,Fail,strict-promise-v1.0,verdict: Unresolved -> False display: Unresolved -> False — Missed Deadline score:  -> 0 inclusion: No -> Yes Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-008,Reclassified,"Pay legal bills, with no stated limit, for users unfairly treated by employers because of posts or likes on X.","Pay legal bills, with no stated limit, for users unfairly treated by employers because of posts or likes on X.",Unresolved,Unresolved,Unresolved,Unresolved,,,No,No,,Unresolved,strict-promise-v1.0,Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
X-009,"Audited, no headline change",Make Twitter by far the most accurate source of information about the world.,Make Twitter by far the most accurate source of information about the world.,Unresolved,Unresolved,Unresolved,Unresolved,,,No,No,,Not applicable,strict-promise-v1.0,Evidence and derived statistics re-audited.
