record_id,legacy_verdict,legacy_weighted_reliability_score,legacy_included_in_site_percentage,v2_verdict_category,v2_display_verdict,v2_score_points,v2_include_in_trust_score,inclusion_changed,classification_rationale
TESLA-028,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-029,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-030,PARTIALLY_FULFILLED,0.75,Yes,Misleading,Partially Fulfilled,50,Yes,No,"A meaningful part of the claim held up, but material scope, capability, or context remained unmet."
TESLA-031,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-032,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
TESLA-033,FULFILLED_LATE,0.5,Yes,Misleading,Fulfilled Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-034,FULFILLED_LATE,0.5,Yes,Misleading,Fulfilled Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-035,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-036,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-037,FULFILLED_LATE,0.5,Yes,Misleading,Fulfilled Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-038,FULFILLED,0.75,Yes,Mostly True,Substantially Fulfilled,75,Yes,No,"The central outcome occurred, with a limited qualification, deviation, or independent-evidence gap."
TESLA-039,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-040,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-041,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-042,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-043,FULFILLED,1.0,Yes,True,Fulfilled,100,Yes,No,The available evidence supports the central claim or shows the commitment was fulfilled as stated.
TESLA-044,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
TESLA-045,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-046,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
TESLA-047,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
TESLA-048,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
TESLA-049,PARTIALLY_FULFILLED,0.25,No,Pending,Pending,,No,No,This record combines a 2025 internal-use claim with a 2026 external-sales claim whose deadline had not fully elapsed. It remains Pending until split or matured.
TESLA-050,FALSE_OR_UNSUPPORTED,0.0,Yes,Unsupported,Unsupported,25,Yes,No,"The SEC alleged that funding was not secured, while the settlement included no admission and a civil jury later found no investor liability. The financing assertion is scored Unsupported, not a proven lie."
SPACEX-001,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
SPACEX-002,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-003,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-004,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
SPACEX-005,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
SPACEX-006,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
SPACEX-007,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
SPACEX-008,UNCLEAR,,No,Unresolved,Unresolved,,No,No,Public manufacturing data are insufficient to verify the claimed complete Starship-and-booster monthly cadence.
SPACEX-009,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
SPACEX-010,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
SPACEX-011,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-012,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-013,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-014,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-015,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-016,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
SPACEX-017,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
SPACEX-018,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
X-001,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
X-002,PROMISE_REVERSED,0.0,Yes,False,Promise Reversed,0,Yes,No,Musk or the relevant organization later did the opposite of the explicit commitment.
X-003,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
X-004,PARTIALLY_FULFILLED,0.75,No,Misleading,Partially Fulfilled,50,Yes,Yes,"The date was met, but only part of the promised recommendation code was released. The material scope shortfall is scored Misleading."
X-005,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
X-006,FULFILLED_LATE,0.75,Yes,Mostly True,Fulfilled Slightly Late,75,Yes,No,The central outcome occurred with a relatively limited delay.
X-007,UNCLEAR,,No,Unresolved,Unresolved,,No,No,A complete four-week publication cadence cannot be independently audited from the available public record.
X-008,PARTIALLY_FULFILLED,0.5,No,Unresolved,Unresolved,,No,No,"At least one prominent case was funded, but the universal, unlimited promise has no objective completion threshold and cannot be fairly scored."
X-009,UNSCORABLE,,No,Unresolved,Unresolved,,No,No,The mission statement lacks a measurable definition of accuracy and an objective deadline.
X-010,FULFILLED,1.0,Yes,True,Fulfilled,100,Yes,No,The available evidence supports the central claim or shows the commitment was fulfilled as stated.
X-011,PARTIALLY_FULFILLED,0.75,No,Mostly True,Substantially Fulfilled,75,Yes,Yes,"The general amnesty began near the promised time, but its scope and exceptions were not fully auditable; the core commitment was substantially fulfilled."
NEURALINK-001,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
NEURALINK-002,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
NEURALINK-003,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
NEURALINK-004,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
NEURALINK-005,FULFILLED,1.0,Yes,True,Fulfilled,100,Yes,No,The available evidence supports the central claim or shows the commitment was fulfilled as stated.
NEURALINK-006,PENDING,,No,Pending,Pending,,No,No,The relevant deadline or stated condition had not matured by the evaluation date.
BORING-001,FULFILLED_LATE,0.75,Yes,Mostly True,Fulfilled Slightly Late,75,Yes,No,The central outcome occurred with a relatively limited delay.
BORING-002,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
BORING-003,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
BORING-004,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
BORING-005,FALSE_OR_UNSUPPORTED,0.0,Yes,False,False,0,Yes,No,"A White House adviser directly contradicted the claimed government approval, and formal approval had not been granted."
PUBLIC-001,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
PUBLIC-002,FALSE,0.0,Yes,Misleading,Misleading,50,Yes,No,The statement is an analogy that creates a materially inaccurate impression rather than a clean literal factual proposition.
PUBLIC-003,FALSE,0.0,Yes,Unsupported,Unsupported,25,Yes,No,"No credible evidence substantiates the alleged voter-importation strategy, but the claimed political motive cannot be conclusively disproven."
PUBLIC-004,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
PUBLIC-005,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
PUBLIC-006,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
PUBLIC-007,FALSE,0.0,Yes,Unsupported,Unsupported,25,Yes,No,"No credible evidence substantiates the claimed political motive, but motive cannot be conclusively disproven from the public record."
PUBLIC-008,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
PUBLIC-009,FALSE,0.0,Yes,Unsupported,Unsupported,25,Yes,No,"No credible evidence substantiates the alleged strategy, but the claimed political motive cannot be conclusively disproven."
PUBLIC-010,FALSE,0.0,Yes,False,False,0,Yes,No,Reliable evidence directly contradicted the central factual claim.
