record_id,statement_date,organization_or_domain,topic,statement_type,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict,deadline_result,eventual_fulfillment,factual_accuracy,binary_resolved_score,on_time_score,weighted_reliability_score,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,included_in_site_percentage,selection_basis,source_quality_notes,methodology_notes
TESLA-011,2018-05-02,Tesla,Model 3 production,Revised dated forecast,"Reach 5,000 Model 3 vehicles per week by the end of Q2 2018.",2018-06-30,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_LATE,Missed by hours,Yes,Not applicable,1,0,0.75,Not established,"Tesla reported 5,031 Model 3 vehicles in the final seven days of Q2, but Reuters reported the milestone was reached hours after the quarter-end deadline.",https://www.reuters.com/article/business/exclusive-tesla-hits-model-3-manufacturing-milestone-hours-after-deadline-fa-idUSKBN1JR1WX/,Tesla hits Model 3 manufacturing milestone hours after deadline,https://ir.tesla.com/press-release/tesla-q2-2018-vehicle-production-and-deliveries,Tesla Q2 2018 vehicle production and deliveries,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-012,2018-07,Tesla,Model 3 production,Dated forecast,"Increase Model 3 production to 6,000 per week by late August 2018.",2018-08-31,https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla averaged roughly 4,300 Model 3 vehicles per week in Q3 2018 rather than sustaining 6,000.",https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-013,2017-08-02,Tesla,Model 3 production,Dated forecast,"Reach 10,000 Model 3 vehicles per week toward the end of 2018.",2018-12-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla did not reach a sustained 10,000-per-week Model 3 production rate in 2018.",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-014,2016-04,Tesla,Annual production,Dated forecast,"Produce about 500,000 vehicles annually by 2020.",2020,https://www.reuters.com/article/us-tesla-model-idUSKCN0WY3JK/,"Tesla accelerates 500,000-car target to 2018",Tier 1 independent quoting Musk,2026-07-26,FULFILLED_ON_TIME,Met for production,Yes,Not applicable,1,1,1.0,Not established,"Tesla produced 509,737 vehicles in 2020; deliveries were 499,550.",https://ir.tesla.com/press-release/tesla-q4-2020-vehicle-production-deliveries,Tesla Q4 2020 vehicle production and deliveries,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-015,2016-10-26,Tesla,Capital needs,Business commitment,Launch Model 3 without needing a capital raise.,Before Model 3 launch,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla announced a roughly $1.15 billion stock and notes offering in March 2017 and later issued additional debt before Model 3 scaled.,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-016,2018-05,Tesla,Profitability,Dated forecast,Become profitable in Q3 2018 and remain profitable on a sustained quarterly basis.,Starting Q3 2018,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_LATE,Initial quarter met; sustained result late,Yes,Not applicable,1,0,0.5,Not established,Tesla posted Q3 2018 profit but did not maintain uninterrupted quarterly profitability until later; Reuters identifies sustained profits beginning after Q3 2019.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-017,2016-03-31,Tesla,Model 3 price,Product promise,"Sell a base Model 3 for about $35,000.",At mass-market launch,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,FULFILLED_LATE,Higher-priced versions first,Yes,Not applicable,1,0,0.75,Not established,"Tesla made a $35,000 Model 3 available in February 2019, after selling more expensive versions first.",https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/,"Tesla debuts $35,000 Model 3",,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-018,2020-09-22,Tesla,Affordable EV,Dated promise,"Produce a fully autonomous Tesla costing about $25,000 in roughly three years.",Around 2023,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"No $25,000 Tesla launched by 2023. Reuters reported the dedicated low-cost project was canceled, and Musk later called a human-driven $25,000 Tesla pointless.",https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,https://www.reuters.com/business/autos-transportation/musk-now-says-its-pointless-build-25000-tesla-human-drivers-2024-11-05/,"Musk says it is pointless to build a $25,000 Tesla for human drivers",High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-019,2024-04-05,Tesla,Low-cost car,Factual assertion,"Asserted that Reuters was lying when it reported Tesla had canceled the all-new $25,000 EV project.",Present-tense claim,https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,Tier 1 independent reproducing Musk's post,2026-07-26,FALSE_OR_UNSUPPORTED,Not applicable,No,False or unsupported,0,,0.0,Evidence suggesting knowledge; not judicially adjudicated,Reuters later reported that senior Tesla executives knew Musk had already canceled the project and questioned his public denial; Musk reportedly told them the project remained dead.,https://www.reuters.com/business/autos-transportation/tesla-executives-questioned-musk-after-he-denied-killing-25000-ev-project-2025-06-02/,"Tesla executives questioned Musk after he denied killing $25,000 EV project",https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","This row has unusually strong evidence bearing on knowledge, but no court has adjudicated the statement as fraud."
TESLA-020,2015-12,Tesla,Full self-driving,Dated forecast,Tesla would achieve complete autonomous driving in about three years.,Around 2018,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla's consumer system remained supervised and required an attentive driver through the evaluation date.,https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-021,2016-10-20,Tesla,Full self-driving,Dated promise,Demonstrate a fully self-driven Los Angeles-to-New York trip by the end of 2017.,2017-12-31,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla did not complete the promised autonomous cross-country demonstration by the deadline.,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-022,2018-02,Tesla,Full self-driving,Revised dated forecast,Complete the coast-to-coast autonomous drive in three to six months.,By roughly 2018-08,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,The coast-to-coast autonomous demonstration still did not occur in that window.,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-023,2018-06-10,Tesla,Full self-driving,Dated software promise,Begin enabling full self-driving features with Tesla Version 9 in the August 2018 update.,2018-08,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,PARTIALLY_FULFILLED,Late and narrower than stated,Partial,Not applicable,,0,0.25,Not established,"Version 9 arrived later in 2018 with Navigate on Autopilot, but it remained a driver-assistance feature rather than full autonomous driving.",https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,Medium-High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-024,2019-04-22,Tesla,Robotaxi,Dated forecast,Have one million Tesla robotaxis operating by the end of 2020.,2020-12-31,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla had no public driverless robotaxi network at the end of 2020.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,https://www.reuters.com/business/autos-transportation/tesla-tiptoes-into-long-promised-robotaxi-service-2025-06-22/,Tesla tiptoes into long-promised robotaxi service,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-025,2019-04-22,Tesla,Robotaxi vehicle,Dated forecast,Produce a vehicle without a steering wheel or pedals in about two years.,Around 2021,https://www.reuters.com/article/business/elon-musk-on-teslas-self-driving-capabilities-idUSKCN1RY0QX/,Elon Musk on Tesla's self-driving capabilities,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla did not produce such a vehicle by 2021; it unveiled a Cybercab prototype in 2024 and production remained future-dated.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-026,2020-12-20,Tesla,FSD subscription,Dated promise,Release a monthly Full Self-Driving subscription early in 2021.,Early 2021,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_LATE,Late,Yes,Not applicable,1,0,0.75,Not established,Tesla launched the FSD subscription in July 2021.,https://www.tesla.com/support/fsd-subscription,Tesla Full Self-Driving subscription support,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-027,2022-04-29,Tesla,FSD beta,Dated promise,Make FSD Beta available to all eligible North American customers later in 2022.,2022-12-31,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_ON_TIME,Met,Yes,Not applicable,1,1,1.0,Not established,"Musk announced broad North American availability in November 2022, although the product remained supervised beta software.",https://www.reuters.com/technology/elon-musk-says-tesla-full-self-driving-beta-now-available-north-america-2022-11-24/,Tesla FSD beta available to anyone in North America who requests it,https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-028,2022-04,Tesla,Full self-driving,Dated forecast,Tesla would achieve self-driving technology ready for broad release by the end of 2022.,2022-12-31,https://www.reuters.com/business/autos-transportation/musk-expects-tesla-achieve-full-self-driving-this-year-2022-04-21/,Musk expects Tesla to achieve full self-driving this year,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla's system still required active driver supervision at year-end and through the evaluation date.,https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-029,2023,Tesla,Hardware 3 autonomy,Technical promise,Existing Tesla vehicles with Hardware 3 would be capable of unsupervised full self-driving.,No precise date; treated as capability commitment,https://archive.is/c2u4U,NYT audit of Musk business goals,Tier 1 independent transcription,2026-07-26,NOT_FULFILLED,Capability disclaimed in 2026,No,Not applicable,0,,0.0,Not established,In 2026 Musk acknowledged that Hardware 3 vehicles could not run the software needed for autonomous driving and said he wished it were otherwise.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-030,2025-03-31,Tesla,Robotaxi,Dated promise,Unsupervised Tesla rides would carry passengers in Austin in June 2025.,2025-06,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,PARTIALLY_FULFILLED,Met in limited form,Partial,Not applicable,,1,0.75,Not established,"Tesla began a small, invitation-only paid service in Austin on June 22 with a limited zone and front-seat safety monitors.",https://www.reuters.com/business/autos-transportation/tesla-tiptoes-into-long-promised-robotaxi-service-2025-06-22/,Tesla tiptoes into long-promised robotaxi service,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-031,2025-03-31,Tesla,Robotaxi expansion,Dated promise,Operate unsupervised Tesla passenger service in many U.S. cities by the end of 2025.,2025-12-31,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"By July 2026 Tesla still operated limited, small fleets in only a handful of cities rather than many cities nationwide.",https://www.reuters.com/business/autos-transportation/teslas-once-bullish-tone-robotaxis-shifts-2026-07-23/,Tesla's once-bullish tone on robotaxis shifts,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-032,2025-05-29,Tesla,Autonomous delivery,Dated promise,Complete the first autonomous factory-to-customer Model Y delivery in June 2025.,2025-06,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_ON_TIME,Met,Yes,Not applicable,1,1,1.0,Not established,"Tesla completed a Model Y self-delivery on June 27, one day before the date Musk had subsequently specified.",https://www.reuters.com/business/autos-transportation/tesla-completes-first-fully-autonomous-model-y-delivery-ahead-schedule-2025-06-27/,Tesla completes first fully autonomous Model Y delivery ahead of schedule,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-033,2025-08-25,Tesla,Robotaxi safety driver,Dated promise,Remove the Austin robotaxi safety driver by the end of 2025.,2025-12-31,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,FULFILLED_LATE,Missed deadline; achieved in 2026,Yes,Not applicable,1,0,0.5,Not established,"The New York Times reported that in 2026 Tesla offered rides without human safety monitors in Austin, Dallas and Houston.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-034,2019-11-21,Tesla,Cybertruck launch,Dated promise,Begin Cybertruck production and deliveries in late 2021.,Late 2021,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,FULFILLED_LATE,About two years late,Yes,Not applicable,1,0,0.5,Not established,Initial customer deliveries began in November 2023.,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
